Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis,Niederlassung
54,55557,1,38,K0927,72637.98,Bayern
70,77481,1,60,K0914,114318.99,Baden-Württemberg
63,69742,1,43,K1050,94365.56,Berlin
64,65754,1,53,K0918,95513.44,Hamburg
33,47124,1,35,K0053,79603.78,Bayern
33,37491,0,32,K0130,53138.58,Niedersachsen
34,27982,0,28,K0638,31074.53,Bayern
51,58438,1,52,K0403,90811.71,Baden-Württemberg
67,69567,1,53,K0935,128522.22,Brandenburg
34,23826,0,34,K0921,48808.86,Niedersachsen
45,62178,1,46,K0736,85463.8,Baden-Württemberg
44,68447,0,47,K0855,96292.93,Sachsen
53,59694,1,40,K1053,91743.18,Sachsen
69,74254,1,63,K0220,102553.46,Bayern
61,74239,1,65,K0642,106676.91,Thüringen
58,65271,1,44,K0002,106258.99,Nordrhein-Westfalen
60,73978,0,44,K0899,109383.25,Baden-Württemberg
59,80507,1,52,K1076,122494.92,Baden-Württemberg
36,27831,0,37,K0081,38628.85,Bayern
49,58030,1,38,K0625,102268.68,Nordrhein-Westfalen
67,88160,0,67,K0997,116308.36,Hessen
69,80988,0,57,K0909,130219.27,Baden-Württemberg
30,40170,1,44,K0387,63566.56,Hessen
59,63905,1,38,K1092,94428.01,Bayern
33,41016,0,36,K0807,61945.93,Bayern
57,57867,0,35,K0510,78941.48,Bayern
65,73022,0,64,K0268,100337.77,Niedersachsen
67,78366,1,55,K0973,109630.95,Nordrhein-Westfalen
64,67455,1,38,K0442,116446.72,Nordrhein-Westfalen
46,46352,1,22,K0497,76759.63,Bayern
33,34894,1,29,K0830,60765.14,Baden-Württemberg
66,70138,1,59,K0113,102407.29,Berlin
59,61988,0,34,K0692,83817.23,Baden-Württemberg
45,62886,1,50,K0233,91266.15,Nordrhein-Westfalen
65,82579,0,52,K0472,119442.59,Nordrhein-Westfalen
41,38158,0,37,K0608,49170.73,Nordrhein-Westfalen
43,41643,0,25,K0672,68969.85,Berlin
42,63339,1,54,K0374,90132.53,Nordrhein-Westfalen
50,45848,1,47,K0827,48780.22,Hessen
52,58625,1,46,K0664,113237.35,Sachsen
42,41463,1,43,K1004,74976.67,Baden-Württemberg
55,66624,1,36,K0234,94540.15,Hessen
66,95730,1,63,K0819,138765.11,Nordrhein-Westfalen
62,66385,1,45,K0936,110890.06,Hessen
30,28784,1,34,K0677,42416.07,Berlin
54,72215,1,42,K0318,117790.98,Sachsen
42,55975,0,38,K0649,80767.86,Nordrhein-Westfalen
45,60218,1,41,K0411,102902.04,Hamburg
40,40385,0,38,K1044,60570.44,Baden-Württemberg
63,58435,1,47,K0710,87561.26,Thüringen
51,40228,1,31,K0359,64816.33,Hessen
64,64196,1,48,K0259,107141.39,Bayern
56,81045,0,58,K0745,125101.5,Berlin
58,49747,1,48,K0628,77878.69,Hamburg
34,65070,1,57,K0633,98105.63,Hamburg
59,76842,0,47,K0283,94309.74,Baden-Württemberg
46,40684,1,36,K0377,66968.71,Niedersachsen
41,46713,1,40,K0385,49617.32,Bayern
40,50730,1,30,K0225,69432.02,Baden-Württemberg
61,59927,1,47,K1079,100903.48,Baden-Württemberg
51,47827,1,39,K0967,71298.43,Thüringen
54,60025,1,42,K0473,74740.62,Berlin
41,62740,0,52,K0348,91641.0,Niedersachsen
48,45333,1,40,K0506,65343.65,Hessen
30,41029,0,32,K0640,70761.65,Hessen
32,23753,0,22,K1099,40179.55,Bayern
46,51329,1,32,K0798,77922.3,Thüringen
42,48275,1,42,K0340,70990.88,Thüringen
65,60136,1,44,K0556,116989.74,Hessen
65,55071,1,41,K0620,90033.88,Niedersachsen
43,52541,0,36,K1020,79916.64,Hessen
62,79399,0,56,K0955,125617.3,Baden-Württemberg
54,64748,1,47,K0646,104496.28,Bayern
62,57795,0,38,K1008,85730.62,Niedersachsen
35,59218,0,33,K0557,89824.77,Berlin
60,71186,1,53,K0682,115349.19,Hessen
54,55199,1,59,K0578,64942.31,Baden-Württemberg
39,61809,1,44,K0796,80843.31,Nordrhein-Westfalen
53,61613,1,50,K0086,99068.03,Brandenburg
64,71112,1,55,K0243,121577.09,Hamburg
31,44046,1,31,K0699,51186.35,Thüringen
69,72349,1,61,K0839,103823.85,Baden-Württemberg
35,55716,1,25,K0160,63069.62,Sachsen
43,53186,1,43,K0525,93969.09,Hamburg
68,79182,1,48,K0036,125939.52,Baden-Württemberg
38,59079,1,56,K0541,92587.82,Berlin
70,95326,1,66,K0171,133593.66,Baden-Württemberg
50,48277,1,47,K0655,88936.09,Nordrhein-Westfalen
50,78249,1,55,K0749,114846.09,Nordrhein-Westfalen
69,0,1,65,K1021,125140.05,Bayern
69,77887,0,51,K1009,126098.91,Hessen
61,94363,1,50,K0485,137974.71,Bayern
60,61431,1,33,K0734,105250.41,Bayern
34,46252,0,39,K0900,62891.18,Berlin
57,60138,1,35,K0096,102300.93,Baden-Württemberg
48,57825,1,31,K0564,94299.04,Thüringen
38,35214,1,32,K0241,50205.8,Bayern
61,65648,0,51,K0743,100202.5,Berlin
49,60621,1,41,K0864,81988.0,Hessen
32,61059,0,47,K0575,81549.78,Nordrhein-Westfalen
59,60769,1,53,K0691,72785.83,Baden-Württemberg
37,60379,0,59,K0461,83542.5,Thüringen
38,51844,1,31,K0892,60596.45,Sachsen
54,71830,1,44,K0554,113981.18,Bayern
55,75123,1,55,K0858,97596.04,Nordrhein-Westfalen
30,29432,0,28,K1032,61522.97,Nordrhein-Westfalen
58,46940,0,36,K0207,78383.96,Baden-Württemberg
45,52953,1,36,K0393,69536.92,Brandenburg
57,68942,0,51,K0795,96688.41,Nordrhein-Westfalen
67,73602,1,56,K0871,124908.81,Nordrhein-Westfalen
32,58361,0,46,K0398,71055.84,Nordrhein-Westfalen
51,71583,0,59,K0767,99159.39,Baden-Württemberg
41,50856,1,42,K1010,87967.12,Nordrhein-Westfalen
70,73363,0,54,K0218,111223.31,Hamburg
50,56621,0,40,K0005,92898.67,Bayern
46,49781,0,48,K0769,73484.48,Hessen
40,43259,1,36,K0643,58493.0,Niedersachsen
58,67418,0,65,K0462,95613.26,Bayern
31,27160,0,26,K0943,40495.11,Bayern
65,60902,1,52,K0613,114790.5,Niedersachsen
69,67799,0,55,K0739,99345.38,Bayern
67,81679,0,57,K0961,124223.23,Bayern
67,74189,0,44,K0547,118596.14,Baden-Württemberg
60,70775,0,64,K0987,101574.15,Baden-Württemberg
34,52759,1,53,K0726,77110.67,Niedersachsen
58,68451,1,45,K1097,114851.71,Nordrhein-Westfalen
68,84609,1,54,K0684,123507.33,Baden-Württemberg
37,48532,0,32,K0099,68786.85,Hessen
49,69675,1,51,K0805,92342.53,Baden-Württemberg
35,24355,1,32,K0728,55167.61,Hessen
30,36552,0,21,K0574,51200.08,Baden-Württemberg
34,44113,1,34,K0407,69211.99,Sachsen
65,68189,0,36,K0503,97143.57,Nordrhein-Westfalen
64,77668,0,63,K0048,116246.65,Baden-Württemberg
36,24397,0,38,K0033,32833.88,Baden-Württemberg
37,44420,1,26,K0930,51519.02,Bayern
52,60063,1,31,K0780,109287.55,Niedersachsen
66,94518,0,62,K0840,119618.58,Thüringen
40,55005,1,47,K0201,76273.78,Berlin
44,43460,0,45,K0135,71339.81,Hessen
57,83306,1,53,K0028,112854.14,Sachsen
38,55278,1,46,K0041,95883.59,Baden-Württemberg
38,54775,1,40,K1018,75261.51,Hamburg
64,89881,0,55,K0231,120551.98,Hessen
41,57422,1,47,K0490,75053.42,Nordrhein-Westfalen
37,30511,0,29,K0773,63585.76,Niedersachsen
57,66962,1,47,K0379,103890.1,Sachsen
63,65128,1,42,K0289,111253.56,Berlin
66,80562,1,48,K0419,121433.27,Bayern
30,23168,1,23,K0392,38984.74,Thüringen
70,76112,1,60,K0593,107199.46,Sachsen
56,65663,1,55,K0648,107678.5,Hessen
52,77888,1,59,K0521,105968.69,Bayern
44,47332,0,36,K0065,84281.71,Baden-Württemberg
32,43022,1,36,K0015,50811.55,Sachsen
54,65610,1,59,K0493,78467.12,Berlin
55,69487,1,50,K0380,93455.52,Thüringen
55,76066,0,52,K0188,112809.53,Hamburg
56,76011,1,63,K0764,125585.18,Nordrhein-Westfalen
36,51478,1,32,K0217,90484.89,Bayern
44,52628,0,47,K0792,80768.14,Bayern
39,50202,1,30,K0879,86793.36,Bayern
54,58380,1,45,K0338,89265.3,Hessen
39,57156,1,39,K0720,77986.08,Baden-Württemberg
48,51210,1,29,K0296,64363.81,Bayern
60,57664,0,51,K1017,95386.14,Hessen
31,36628,0,33,K0456,58605.27,Berlin
69,77676,1,62,K0816,126864.71,Nordrhein-Westfalen
33,38152,0,26,K0270,68310.6,Baden-Württemberg
69,65252,1,42,K0996,105771.99,Berlin
45,49088,0,39,K0202,80749.79,Niedersachsen
56,66685,1,55,K0162,110938.59,Hessen
42,22279,1,20,K0730,61502.53,Sachsen
66,85534,1,59,K0402,122017.62,Sachsen
63,81261,1,48,K0703,109555.23,Bayern
32,26878,1,36,K0566,50126.6,Bayern
70,84074,1,57,K1022,144045.32,Baden-Württemberg
30,52514,1,27,K1026,76020.69,Niedersachsen
45,54276,1,43,K0206,88859.4,Baden-Württemberg
38,48364,1,35,K0035,85707.42,Bayern
51,69957,0,51,K0776,102053.63,Bayern
36,40554,1,24,K0509,68345.72,Baden-Württemberg
57,78835,1,55,K1091,112307.45,Baden-Württemberg
62,71666,1,59,K0092,107104.52,Thüringen
59,79283,1,59,K0898,105625.52,Berlin
68,61693,0,52,K0565,111218.49,Nordrhein-Westfalen
43,57981,0,55,K0777,96036.67,Niedersachsen
70,80732,1,52,K0242,116569.27,Baden-Württemberg
53,70398,0,48,K0014,102062.3,Sachsen
32,53135,1,53,K0316,81152.36,Baden-Württemberg
40,53679,1,41,K0601,77410.61,Berlin
63,82564,1,59,K0388,124742.75,Bayern
44,47834,1,44,K0167,69642.73,Berlin
65,62961,1,56,K0841,106364.96,Baden-Württemberg
31,27501,1,22,K0021,39695.86,Hessen
51,61555,0,36,K0647,101804.21,Hamburg
40,42128,1,40,K0832,78281.31,Niedersachsen
55,45218,1,34,K0563,69467.58,Berlin
48,43335,1,27,K1078,67948.2,Nordrhein-Westfalen
32,43583,0,37,K0687,75274.62,Baden-Württemberg
56,42003,0,43,K0958,84471.99,Hessen
35,41741,0,38,K0190,52271.78,Hamburg
65,79589,0,57,K0976,117896.45,Hessen
40,76423,0,51,K0700,101008.49,Bayern
43,59012,1,44,K0511,91000.76,Baden-Württemberg
65,58270,1,38,K0475,85983.74,Berlin
37,57504,1,40,K0857,78406.83,Berlin
48,59014,1,48,K0748,97451.48,Bayern
65,70212,1,45,K0253,102160.74,Hessen
50,49026,0,36,K0022,79076.93,Berlin
55,61750,1,52,K0460,93666.44,Nordrhein-Westfalen
32,34846,0,25,K0277,48990.25,Baden-Württemberg
59,68568,0,41,K0956,95476.41,Baden-Württemberg
30,62318,1,50,K0386,93943.58,Hessen
54,84027,1,58,K0806,117270.4,Niedersachsen
30,29264,1,21,K0344,54886.03,Berlin
55,71467,1,59,K0770,89954.18,Hessen
59,68825,0,60,K0131,83303.72,Brandenburg
66,58457,1,35,K0872,79415.76,Bayern
46,46384,1,37,K0088,82034.0,Sachsen
69,96516,1,64,K0331,142208.17,Baden-Württemberg
70,69581,1,51,K0467,103751.58,Thüringen
38,48301,1,33,K0122,64230.98,Niedersachsen
67,63547,1,41,K1045,103123.57,Berlin
37,32686,1,36,K1096,49215.87,Baden-Württemberg
55,71240,1,49,K0861,106132.59,Bayern
